Date,Topic,Drive Link,,Description
25/09/2025,Doubt Session,https://drive.google.com/file/d/1rMdi4cwCGFjpZrJITEXlKwqAfwBO3mHS/view?usp=drive_link,,"Count valid grid paths, Android unlock pattern, topological labelling idea"
27/09/2025,Tree Foundations & Framework,https://drive.google.com/file/d/1ssFWwmDBZxhDWspXKOn20LxzcFnOjRkx/view?usp=drive_link,https://drive.google.com/file/d/1p7r3NDmd-Nk5Q3rzCdC2mAbp98uk_FdF/view?usp=drive_link,"Tree intro, DFS in Trees, Distance to all nodes from root, subtree, no of nodes in subtree, fathest node, 
pre order v post order traversal, no. of diff pre order traversal, Frameworks of tree, find diameter"
27/09/2025,Tree Data Structure Ideas,https://drive.google.com/file/d/1gfFn5XgCe1wsxSk1ty6ASuJKu9eBXfSG/view?usp=drive_link,https://drive.google.com/file/d/1k07nN7MKL5urNHMCAeujc-PiC9CNqmcg/view?usp=drive_link,"Sum of distance to every node, pre rooting idea, farthest & closest value on path to root, Small to large merging"
28/09/2025,Doubt Session,https://drive.google.com/file/d/15rSX3otBRU6TH0AJYDen-lw1fsbohqFM/view?usp=drive_link,,"Burn them all idea, Subsequences summing to sevens idea, budget travelling idea, number of zig zag 1 idea"
01/10/2025,Doubt Session,https://drive.google.com/file/d/18Io5xef8Izb6le5QdLUvNWu1cDxWsxYc/view?usp=drive_link,,"Edge Removals, Burn them all, One piece, cycle finding, gotham rises"
05/10/2025,Drill on Graph + Trees,https://drive.google.com/file/d/1sTgvL9k5CUmve03ud2Xgx6gkUpFaUtDz/view?usp=sharing,,"Two currencies idea, Kefa and Park idea, Course schedule 4, Count ways to build rooms, parralel courses 3 idea, 
edges in shortest paths idea"
07/10/2025,DSU and Applications,https://drive.google.com/file/d/1bRDc2TgoFl3MXKDQxohu25ZXRCV7LLmg/view?usp=drive_link,,"DSU intro, Strange food chain, weighted dsu, Rank/size/path compression"
11/10/2025,Bit Manipulation Foundation,https://drive.google.com/file/d/13CDgBs1ybTpngvoCwAPlPymOwXviazBk/view?usp=drive_link,https://drive.google.com/file/d/1D2o40iJzkEOcciGYNBDYE45vxOOtDFoz/view?usp=drive_link,"Operators and binary representation: And, or, xor, shift, negate; Find values of x for expressions, Overflows, 
Masking using boolean array, generate subsets of a set using masking ("
11/10/2025,Bit Manipulation Application,https://drive.google.com/file/d/1DRiFB6Sdinb8ztSr0lkNa2EHVaALt-7q/view?usp=drive_link,,Sum of (and/xor of subarrays) of the array
19/10/2025,DP Foundation,https://drive.google.com/file/d/10gweYBXezAKTVA4n5IUTwj5VIFaYJdCz/view?usp=drive_link,https://drive.google.com/file/d/1Gg2Iv6tMklYq2_huztXnnd9lRRPDJ1EW/view?usp=drive_link,"Intro with recursion tree and dag, overlapping subproblems, optimal substructure, types of problem, framework 
to solve a dp problem no. of ways to make sum=x, min no. of elements to make sum=x"
19/10/2025,DP Form 1,https://drive.google.com/file/d/1yO7w6RVvNuVyqd1ktex93sqgIgT5-JsV/view?usp=drive_link,https://drive.google.com/file/d/1Zv7qNNAPzwxe8lcbufgL17-oKHm-XJiS/view?usp=drive_link,"No of ways to fill missing places with no neighbours same, string is circualr, no of a is odd, print"
25/10/2025,DP Form 2 & 3 Deep Dive,https://drive.google.com/file/d/1QoFciFHoKt0RkEKa9TZkHrsKOzDaDVmo/view?usp=drive_link,https://drive.google.com/file/d/1NTdoLs16Anxff43ZC6y7hBakhShliOGC/view?usp=drive_link,"Form 2 intro, no of bitonic subsequences, longest bitonic subsequence, count of no of longest bitonic subsequence."
25/10/2025,DP Form 4 & 5 Deep Dive,https://drive.google.com/file/d/13RnsX7qtOZ8Uh_u3wf1kbzxf6cuqxdfn/view?usp=drive_link,,"Burst balloons using form 4, merge elements 1 using form 4, homework problem, win the game with form 5"
22/11/2025,Segment Tree Foundation,,https://drive.google.com/file/d/1yRvjQhjVsiRj83iz-Stm4jKR3g97Mht0/view?usp=sharing,
23/11/2025,Segment Tree Application,,https://drive.google.com/file/d/1a1qxlXrxNXipZAVO35kNqEuC2mvGp0JI/view?usp=sharing,
23/11/2025,Segment Tree Drill Session,,https://drive.google.com/file/d/1GBwZpFpa1Dhp2VXUgtUx-WTc7z5P9t2h/view?usp=drive_link,
